S. No.,compname,isin,fincode,sub_sector,sector,Week,Symbols
314,Welcast Steels Ltd.,INE380G01015,104988,Castings/Forgings,Automobile & Ancillaries,2,
315,TIL Ltd.,INE806C01018,105196,Engineering - Industrial Equipments,Capital Goods,2,
316,Lakshmi Automatic Loom Works Ltd.,INE718M01022,105302,Textile - Machinery,Textile,2,
317,Cholamandalam Financial Holdings Ltd.,INE149A01033,104973,Finance - Investment,Finance,2,
318,ZF Steering Gear (India) Ltd.,INE116C01012,105163,Auto Ancillary,Automobile & Ancillaries,2,
319,Veljan Denison Ltd.,INE232E01013,105232,Compressors / Pumps,Capital Goods,2,
320,GG Dandekar Machine Works Ltd.,INE631D01026,105250,Engineering - Industrial Equipments,Capital Goods,2,
321,Duncan Engineering Ltd.,INE340F01011,104908,Engineering - Industrial Equipments,Capital Goods,2,
322,Tulive Developers Ltd.,INE637D01015,105285,Engineering,Capital Goods,2,
323,Lynx Machinery & Commercials Ltd.,INE732D01014,105320,Miscellaneous,Miscellaneous,2,
324,Skyline Millars Ltd.,INE178E01026,105650,Construction - Real Estate,Realty,2,
325,Monotype India Ltd.,INE811D01024,105343,Finance - Stock Broking,Finance,2,
326,Nesco Ltd.,INE317F01035,105355,Engineering - Industrial Equipments,Capital Goods,2,
327,Revathi Equipment Ltd.,INE617A01013,105368,Engineering - Industrial Equipments,Capital Goods,2,
328,Texmaco Infrastructure & Holdings Ltd.,INE435C01024,105400,Construction - Real Estate,Realty,2,
329,Bimetal Bearings Ltd.,INE469A01019,105681,Bearings,Automobile & Ancillaries,2,
330,Responsive Industries Ltd.,INE688D01026,105509,Plastic Products,Plastic Products,2,
331,Westlife Development Ltd.,INE274F01020,105533,"Hotel, Resort & Restaurants",Hospitality,2,
332,Maharashtra Corporation Ltd.,INE272E01027,105523,Trading,Trading,2,
333,Dolat Algotech Ltd.,INE966A01022,105526,Finance - Stock Broking,Finance,2,
334,Wendt (India) Ltd.,INE274C01019,105412,Abrasives,Abrasives,2,
335,Zee Entertainment Enterprises Ltd.,INE256A01028,105537,TV Broadcasting & Software Production,Media & Entertainment,2,
336,Shyamkamal Investments Ltd.,INE203N01015,105515,Finance - NBFC,Finance,2,
337,Taparia Tools Ltd.,INE614R01014,105685,Trading,Trading,2,
338,Brady & Morris Engineering Company Ltd.,INE856A01017,105690,Engineering - Industrial Equipments,Capital Goods,2,
339,Hercules Hoists Ltd.,INE688E01024,105720,Engineering - Industrial Equipments,Capital Goods,2,
340,WPIL Ltd.,INE765D01014,105872,Compressors / Pumps,Capital Goods,2,
341,Rane Holdings Ltd.,INE384A01010,105800,Finance - Investment,Finance,2,
342,Grauer & Weil (India) Ltd.,INE266D01021,105710,Chemicals,Chemicals,2,
343,Him Teknoforge Ltd.,INE705G01021,105712,Auto Ancillary,Automobile & Ancillaries,2,
344,Mangal Credit and Fincorp Ltd.,INE545L01039,105850,Engineering,Capital Goods,2,
345,Kennametal India Ltd.,INE717A01029,105890,Engineering,Capital Goods,2,
346,Mipco Seamless Rings (Gujarat) Ltd.,INE860N01012,105797,IT - Software,IT,2,
347,Gabriel India Ltd.,INE524A01029,105714,Auto Ancillary,Automobile & Ancillaries,2,
348,SNL Bearings Ltd.,INE568F01017,105827,Bearings,Automobile & Ancillaries,2,
349,Schaeffler India Ltd.,INE513A01022,105790,Bearings,Automobile & Ancillaries,2,
350,Elecon Engineering Company Ltd.,INE205B01023,105700,Engineering - Industrial Equipments,Capital Goods,2,
351,Algoquant Fintech Ltd.,INE598D01027,105725,Engineering - Industrial Equipments,Capital Goods,2,
352,TRF Ltd.,INE391D01019,105854,Engineering - Industrial Equipments,Capital Goods,2,
353,IFB Industries Ltd.,INE559A01017,105726,Consumer Durables - Domestic Appliances,Consumer Durables,2,
354,JostS Engineering Company Ltd.,INE636D01025,105750,Engineering - Industrial Equipments,Capital Goods,2,
355,Sudal Industries Ltd.,INE618D01015,106003,Aluminium & Aluminium Products,Non - Ferrous Metals,2,
356,Singer India Ltd.,INE638A01035,105729,Consumer Durables - Domestic Appliances,Consumer Durables,2,
357,Hindustan Hardy Ltd.,INE724D01011,105893,Auto Ancillary,Automobile & Ancillaries,2,
358,Triton Valves Ltd.,INE440G01017,105978,Engineering - Industrial Equipments,Capital Goods,2,
359,Jaipan Industries Ltd.,INE058D01030,105840,Trading,Trading,2,
360,Bhoruka Aluminium Ltd.,INE866G01013,106027,Aluminium & Aluminium Products,Non - Ferrous Metals,2,
361,Arshiya Ltd.,INE968D01022,106074,Logistics,Logistics,2,
362,Lakshmi Precision Screws Ltd.,INE651C01018,106079,Fasteners,Automobile & Ancillaries,2,
363,Genesys International Corporation Ltd.,INE727B01026,106109,IT - Software,IT,2,
364,Velox Industries Ltd.,INE092P01017,106178,Trading,Trading,2,
365,Parnax Lab Ltd.,INE383L01019,106128,Pharmaceuticals & Drugs,Healthcare,2,
366,Kanani Industries Ltd.,INE879E01037,106184,Diamond  &  Jewellery,Diamond  &  Jewellery,2,
367,Visagar Polytex Ltd.,INE370E01029,106146,Textile,Textile,2,
368,Bliss GVS Pharma Ltd.,INE416D01022,106197,Pharmaceuticals & Drugs,Healthcare,2,
369,Galaxy Cloud Kitchens Ltd.,INE403B01016,106186,"Film Production, Distribution & Entertainment",Media & Entertainment,2,
370,INEOS Styrolution India Ltd.,INE189B01011,106222,Chemicals,Chemicals,2,
371,Stanrose Mafatlal Investments & Finance Ltd.,INE441L01015,106105,Finance - Investment,Finance,2,
372,Intellivate Capital Ventures Ltd.,INE512D01028,106134,Finance - Investment,Finance,2,
373,Alembic Ltd.,INE426A01027,106235,Pharmaceuticals & Drugs,Healthcare,2,
374,Amal Ltd.,INE841D01013,106597,Chemicals,Chemicals,2,
375,Punjab Chemicals & Crop Protection Ltd.,INE277B01014,106618,Pesticides & Agrochemicals,Chemicals,2,
376,Chemplast Sanmar Ltd.,INE488A01050,106355,Chemicals,Chemicals,2,
377,Deepak Nitrite Ltd.,INE288B01029,106401,Chemicals,Chemicals,2,
378,PCBL Ltd.,INE602A01031,106590,Carbon Black,Chemicals,2,
379,Polychem Ltd.,INE752B01024,106605,Chemicals,Chemicals,2,
380,Fermenta Biotech Ltd.,INE225B01021,106414,Pharmaceuticals & Drugs,Healthcare,2,
381,Kanoria Chemicals & Industries Ltd.,INE138C01024,106525,Chemicals,Chemicals,2,
382,Coromandel International Ltd.,INE169A01031,106395,Fertilizers,Chemicals,2,
383,Chemo-Pharma Laboratories Ltd.,INE320M01019,106365,Trading,Trading,2,
384,Oriental Carbon & Chemicals Ltd.,INE321D01016,106579,Chemicals,Chemicals,2,
385,Jayshree Chemicals Ltd.,INE693E01016,106520,Chemicals,Chemicals,2,
386,JL Morison (India) Ltd.,INE430D01015,106522,Trading,Trading,2,
387,Keltech Energies Ltd.,INE881E01017,106528,Chemicals,Chemicals,2,
388,GOCL Corporation Ltd.,INE077F01035,106480,Chemicals,Chemicals,2,
389,Anuh Pharma Ltd.,INE489G01022,106260,Pharmaceuticals & Drugs,Healthcare,2,
390,MP Agro Industries Ltd.,INE468C01017,106543,Fertilizers,Chemicals,2,
391,Modison Ltd.,INE737D01021,106261,Electric Equipment,Capital Goods,2,
392,Bayer CropScience Ltd.,INE462A01022,106285,Pesticides & Agrochemicals,Chemicals,2,
393,Kemp & Company Ltd.,INE060E01018,106530,Trading,Trading,2,
394,Dharamsi Morarji Chemical Company Ltd.,INE505A01010,106405,Chemicals,Chemicals,2,
395,Sadhana Nitro Chem Ltd.,INE888C01040,106642,Chemicals,Chemicals,2,
396,Ultramarine & Pigments Ltd.,INE405A01021,106685,Chemicals,Chemicals,2,
397,Gujarat Themis Biosyn Ltd.,INE942C01029,106879,Pharmaceuticals & Drugs,Healthcare,2,
398,JB Chemicals & Pharmaceuticals Ltd.,INE572A01028,106943,Pharmaceuticals & Drugs,Healthcare,2,
399,Punjab Alkalies & Chemicals Ltd.,INE607A01022,106852,Chemicals,Chemicals,2,
400,Alkyl Amines Chemicals Ltd.,INE150B01039,106767,Chemicals,Chemicals,3,
401,Gujarat Petrosynthese Ltd.,INE636P01011,106858,Plastic Products,Plastic Products,3,
402,Unichem Laboratories Ltd.,INE351A01035,106690,Pharmaceuticals & Drugs,Healthcare,3,
403,Makers Laboratories Ltd.,INE987A01010,106919,Pharmaceuticals & Drugs,Healthcare,3,
404,Transpek Industry Ltd.,INE687A01016,106687,Pesticides & Agrochemicals,Chemicals,3,
405,Swadeshi Industries & Leasing Ltd.,INE716M01034,106863,Trading,Trading,3,
406,Rajnandini Metal Ltd.,INE00KV01014,290267,Trading,Trading,3,
407,APT Packaging Ltd.,INE046E01025,106979,Plastic Products,Plastic Products,3,
408,Jaysynth Dyestuff (India) Ltd.,INE703C01025,106910,Dyes & Pigments,Chemicals,3,
409,Continental Chemicals Ltd.,INE423K01015,106935,IT - Software,IT,3,
410,Tanfac Industries Ltd.,INE639B01015,106854,Chemicals,Chemicals,3,
411,Advance Petrochemicals Ltd.,INE334N01018,106947,Chemicals,Chemicals,3,
412,Rajasthan Petro Synthetics Ltd.,INE374C01017,106975,Miscellaneous,Miscellaneous,3,
413,Blue chip Tex Industries Ltd.,INE472D01017,106981,Textile - Manmade  Fibres,Textile,3,
414,Jagatjit Industries Ltd.,INE574A01016,107155,Breweries & Distilleries,Alcohol,3,
415,Tilaknagar Industries Ltd.,INE133E01013,107205,Breweries & Distilleries,Alcohol,3,
416,Ravalgaon Sugar Farm Ltd.,INE615A01017,107300,Sugar,Agri,3,
417,Sakthi Sugars Ltd.,INE623A01011,107315,Sugar,Agri,3,
418,GM Breweries Ltd.,INE075D01018,107488,Breweries & Distilleries,Alcohol,3,
419,Khoday India Ltd.,INE687B01014,107435,Breweries & Distilleries,Alcohol,3,
420,Associated Alcohols & Breweries Ltd.,INE073G01016,107526,Breweries & Distilleries,Alcohol,3,
421,Dharani Sugars & Chemicals Ltd.,INE988C01014,107442,Sugar,Agri,3,
422,Emerald Leisures Ltd.,INE044N01021,107265,Trading,Trading,3,
423,Caprolactam Chemicals Ltd.,INE470N01010,107486,Chemicals,Chemicals,3,
424,IFB Agro Industries Ltd.,INE076C01018,107438,Consumer Food,FMCG,3,
425,Rana Sugars Ltd.,INE625B01014,107490,Sugar,Agri,3,
426,Piccadily Sugar & Allied Industries Ltd.,INE544C01023,107498,Breweries & Distilleries,Alcohol,3,
427,Riga Sugar Company Ltd.,INE909C01010,107508,Sugar,Agri,3,
428,Som Distilleries & Breweries Ltd.,INE480C01020,107514,Breweries & Distilleries,Alcohol,3,
429,CJ Gelatine Products Ltd.,INE557D01015,107515,Chemicals,Chemicals,3,
430,Olympic Oil Industries Ltd.,INE286E01019,107609,Trading,Trading,3,
431,Foods & Inns Ltd.,INE976E01023,107552,Consumer Food,FMCG,3,
432,IVP Ltd.,INE043C01018,107580,Chemicals,Chemicals,3,
433,Computer Point Ltd.,INE607B01012,107833,IT - Education,IT,3,
434,Khaitan Chemicals & Fertilizers Ltd.,INE745B01028,107794,Fertilizers,Chemicals,3,
435,Milkfood Ltd.,INE588G01013,107621,Consumer Food,FMCG,3,
436,Polson Ltd.,INE339F01021,107645,Chemicals,Chemicals,3,
437,Orient Beverages Ltd.,INE247F01018,107690,Consumer Food,FMCG,3,
438,National Oxygen Ltd.,INE296D01010,107813,Industrial  Gases & Fuels,Inds. Gases & Fuels,3,
439,TGV SRACC Ltd.,INE284B01028,107753,Chemicals,Chemicals,3,
440,Lime Chemicals Ltd.,INE891G01011,107759,Chemicals,Chemicals,3,
441,Unitech Ltd.,INE694A01020,107878,Construction - Real Estate,Realty,3,
442,TTK Healthcare Ltd.,INE910C01018,107747,Pharmaceuticals & Drugs,Healthcare,3,
443,Dhanuka Agritech Ltd.,INE435G01025,107717,Pesticides & Agrochemicals,Chemicals,3,
444,Wires & Fabriks (S.A.) Ltd.,INE469D01013,107817,Textile,Textile,3,
445,United Leasing & Industries Ltd.,INE357P01014,107808,Textile,Textile,3,
446,Tainwala Chemicals & Plastics (India) Ltd.,INE123C01018,107785,Plastic Products,Plastic Products,3,
447,Jagsonpal Pharmaceuticals Ltd.,INE048B01027,107789,Pharmaceuticals & Drugs,Healthcare,3,
448,Kovilpatti Lakshmi Roller Flour Mills Ltd.,INE014E01015,107598,Consumer Food,FMCG,3,
449,Ansal Housing Ltd.,INE880B01015,107828,Construction - Real Estate,Realty,3,
450,Gillette India Ltd.,INE322A01010,107815,Household & Personal Products,FMCG,3,
451,Mac Charles (India) Ltd.,INE435D01014,107836,"Hotel, Resort & Restaurants",Hospitality,3,
452,Addi Industries Ltd.,INE757C01021,107852,Textile,Textile,3,
453,Pioneer Investcorp Ltd.,INE746D01014,107864,Finance - Investment,Finance,3,
454,Ashnoor Textile Mills Ltd.,INE372I01018,107872,Textile,Textile,3,
455,Best Eastern Hotels Ltd.,INE553F01035,108664,"Hotel, Resort & Restaurants",Hospitality,3,
456,Cochin Malabar Estates & Industries Ltd.,INE788M01017,108571,Rubber  Products,Agri,3,
457,Fiberweb (India) Ltd.,INE296C01020,107910,Textile,Textile,3,
458,Key Corp Ltd.,INE130F01016,107948,Finance - NBFC,Finance,3,
459,Gujarat Hotels Ltd.,INE621C01011,107960,"Hotel, Resort & Restaurants",Hospitality,3,
460,Hawkins Cookers Ltd.,INE979B01015,108486,Consumer Durables - Domestic Appliances,Consumer Durables,3,
461,B&A Ltd.,INE489D01011,108136,Tea/Coffee,Agri,3,
462,IST Ltd.,INE684B01029,108807,Auto Ancillary,Automobile & Ancillaries,3,
463,Neelamalai Agro Industries Ltd.,INE605D01012,108670,Tea/Coffee,Agri,3,
464,Rajath Finance Ltd.,INE455H01013,107962,Finance - NBFC,Finance,3,
465,Dhruv Estates Ltd.,INE780E01011,107886,Construction - Real Estate,Realty,3,
466,Warren Tea Ltd.,INE712A01012,108494,Tea/Coffee,Agri,3,
467,Paramount Cosmetics (India) Ltd.,INE143I01013,107970,Household & Personal Products,FMCG,3,
468,Bajaj Steel Industries Ltd.,INE704G01024,107944,Engineering - Industrial Equipments,Capital Goods,3,
469,Cosmo First Ltd.,INE757A01017,108814,Plastic Products,Plastic Products,3,
470,LKP Finance Ltd.,INE724A01017,107912,Finance - Investment,Finance,3,
471,East Buildtech Ltd.,INE706N01017,107917,Construction - Real Estate,Realty,3,
472,Jindal Hotels Ltd.,INE726D01016,107981,"Hotel, Resort & Restaurants",Hospitality,3,
473,Jupiter Industries & Leasing Ltd.,INE990E01016,107987,Finance - Investment,Finance,3,
474,Kiduja India Ltd.,INE845A01010,107946,Finance - NBFC,Finance,3,
475,Sulabh Engineers & Services Ltd.,INE673M01029,108969,Finance - NBFC,Finance,3,
476,Nitin Castings Ltd.,INE861H01020,108875,Castings/Forgings,Automobile & Ancillaries,3,
477,Apollo Hospitals Enterprise Ltd.,INE437A01024,108869,Hospital & Healthcare Services,Healthcare,3,
478,Everest Industries Ltd.,INE295A01018,108906,Cement & Construction Materials,Construction Materials,3,
479,Ironwood Education Ltd.,INE791H01011,108918,Educational Institutions,Education & Training,3,
480,Indian Infotech & Software Ltd.,INE300B01022,109051,IT - Software,IT,3,
481,SMIFS Capital Markets Ltd.,INE641A01013,108905,Finance - Investment,Finance,3,
482,Joy Realty Ltd.,INE433O01024,108929,Construction - Real Estate,Realty,3,
483,AYM Syntex Ltd.,INE193B01039,108933,Textile,Textile,3,
484,Thakral Services (India) Ltd.,INE190F01028,109015,Consumer Durables - Electronics,Consumer Durables,3,
485,Shricon Industries Ltd.,INE753D01010,108961,Finance - Investment,Finance,3,
486,Sterling Guaranty & Finance Ltd.,INE668Y01016,108963,Finance - NBFC,Finance,3,
487,Panasonic Carbon India Company Ltd.,INE013E01017,108941,Electrodes & Welding Equipment,Capital Goods,3,
488,Netlink Solutions (India) Ltd.,INE040F01033,109040,IT - Software,IT,3,
489,Navneet Education Ltd.,INE060A01024,108989,Printing And Publishing,Media & Entertainment,3,
490,Satra Properties (India) Ltd.,INE086E01021,108996,Construction - Real Estate,Realty,3,
491,Ausom Enterprise Ltd.,INE218C01016,109009,Trading,Trading,3,
492,Ruchi Infrastructure Ltd.,INE413B01023,109020,Solvent  Extraction,Agri,3,
493,VJTF Eduservices Ltd.,INE117F01013,109026,Educational Institutions,Education & Training,3,
494,Photon Capital Advisors Ltd.,INE107J01016,109084,Finance - Investment,Finance,3,
495,Berger Paints India Ltd.,INE463A01038,109480,Paints,Chemicals,3,
496,Sanathnagar Enterprises Ltd.,INE367E01033,109423,Construction - Real Estate,Realty,3,
497,PTL Enterprises Ltd.,INE034D01049,109220,Miscellaneous,Miscellaneous,3,
498,Graphite India Ltd.,INE371A01025,109488,Electrodes & Welding Equipment,Capital Goods,3,
499,MM Rubber Company Ltd.,INE159E01026,109196,Rubber  Products,Agri,3,
500,Caprihans India Ltd.,INE479A01018,109486,Plastic Products,Plastic Products,3,
501,Gufic Biosciences Ltd.,INE742B01025,109079,Pharmaceuticals & Drugs,Healthcare,3,
502,Indag Rubber Ltd.,INE802D01023,109162,Rubber  Products,Agri,3,
503,Empire Industries Ltd.,INE515H01014,109525,Glass,Construction Materials,3,
504,Infomedia Press Ltd.,INE669A01022,109069,Printing And Publishing,Media & Entertainment,3,
505,Garware Technical Fibres Ltd.,INE276A01018,109557,Textile,Textile,3,
506,Benares Hotels Ltd.,INE664D01019,109438,"Hotel, Resort & Restaurants",Hospitality,3,
507,Bombay Oxygen Investments Ltd.,INE01TL01014,109470,Finance - Investment,Finance,3,
508,Graviss Hospitality Ltd.,INE214F01026,109546,"Hotel, Resort & Restaurants",Hospitality,3,
509,Garware Marine Industries Ltd.,INE925D01014,109563,Textile,Textile,3,
510,Hardcastle & Waud Manufacturing Company Ltd.,INE722D01015,109597,Chemicals,Chemicals,3,
511,Hindustan Composites Ltd.,INE310C01029,109635,Auto Ancillary,Automobile & Ancillaries,3,
512,Indian Card Clothing Company Ltd.,INE061A01014,109692,Textile - Machinery,Textile,3,
513,Huhtamaki India Ltd.,INE275B01026,109820,Plastic Products,Plastic Products,3,
514,International Conveyors Ltd.,INE575C01027,109709,Engineering - Industrial Equipments,Capital Goods,3,
515,Thacker & Company Ltd.,INE077P01034,109945,Trading,Trading,3,
516,Modern Shares & Stockbrokers Ltd.,INE370A01019,109760,Finance - Stock Broking,Finance,3,
517,Jay Shree Tea & Industries Ltd.,INE364A01020,109715,Tea/Coffee,Agri,3,
518,HEG Ltd.,INE545A01016,109631,Electrodes & Welding Equipment,Capital Goods,3,
519,Shalimar Paints Ltd.,INE849C01026,109874,Paints,Chemicals,3,
