S. No.,compname,isin,fincode,sub_sector,sector,Week,Symbols
753,Vardhman Polytex Ltd.,INE835A01011,114175,Textile,Textile,4,
754,S&T Corporation Ltd.,INE110Q01015,114197,Construction - Real Estate,Realty,4,
755,K-Lifestyle Industries Ltd.,INE218A01028,114221,Textile,Textile,4,
756,Ramgopal Polytex Ltd.,INE410D01017,114223,Trading,Trading,4,
757,Sangam (India) Ltd.,INE495C01010,114234,Textile,Textile,4,
758,Binny Ltd.,INE118K01011,114215,Textile,Textile,4,
759,Sreechem Resins Ltd.,INE377C01010,114248,Chemicals,Chemicals,4,
760,IKAB Securities & Investment Ltd.,INE874A01010,114238,Finance - NBFC,Finance,4,
761,Zenith Fibres Ltd.,INE106C01013,114266,Textile - Manmade  Fibres,Textile,4,
762,Bhilwara Spinners Ltd.,INE436C01014,114272,Trading,Trading,4,
763,Aarvee Denims & Exports Ltd.,INE273D01019,114274,Textile - Weaving,Textile,4,
764,Sanrhea Technical Textiles Ltd.,INE589J01015,114280,Textile,Textile,4,
765,Ashima Ltd.,INE440A01010,114286,Textile,Textile,4,
766,Seasons Textiles Ltd.,INE707B01010,114264,Textile,Textile,4,
767,Jaihind Synthetics Ltd.,INE156E01014,114312,Trading,Trading,4,
768,Neo Infracon Ltd.,INE216I01017,114332,Construction - Real Estate,Realty,4,
769,Jattashankar Industries Ltd.,INE722N01014,114318,Textile - Manmade  Fibres,Textile,4,
770,Omnitex Industries (India) Ltd.,INE814D01010,114324,Trading,Trading,4,
771,Patspin India Ltd.,INE790C01014,114326,Textile - Spinning,Textile,4,
772,Kamadgiri Fashion Ltd.,INE535C01013,114322,Textile - Manmade  Fibres,Textile,4,
773,Raghuvir Synthetics Ltd.,INE969C01022,114316,Textile,Textile,4,
774,Genesis IBRC India Ltd.,INE194N01016,114336,Plastic Products,Plastic Products,4,
775,Gujarat Cotex Ltd.,INE004C01028,114386,Trading,Trading,4,
776,Everlon Financials Ltd.,INE339D01034,114358,Textile - Spinning,Textile,4,
777,Hindustan Adhesives Ltd.,INE074C01013,114428,Plastic Products,Plastic Products,4,
778,Blue Pearl Texspin Ltd.,INE439N01023,114440,Trading,Trading,4,
779,Atlas Jewellery India Ltd.,INE022N01019,114394,Trading,Trading,4,
